I10 Dx	MDC	DRG(s)	ICD-10-CM Description
D421	1	054-055	Neoplasm of uncertain behavior of spinal meninges
D429	1	054-055	"Neoplasm of uncertain behavior of meninges, unspecified"
D430	1	054-055	"Neoplasm of uncertain behavior of brain, supratentorial"
D431	1	054-055	"Neoplasm of uncertain behavior of brain, infratentorial"
D432	1	054-055	"Neoplasm of uncertain behavior of brain, unspecified"
D433	1	054-055	Neoplasm of uncertain behavior of cranial nerves
D434	1	054-055	Neoplasm of uncertain behavior of spinal cord
D438	1	054-055	Neoplasm of uncertain behavior of other specified parts of central nervous system
D439	1	054-055	"Neoplasm of uncertain behavior of central nervous system, unspecified"
D440	10	643-645	Neoplasm of uncertain behavior of thyroid gland
D4410	10	643-645	Neoplasm of uncertain behavior of unspecified adrenal gland
D4411	10	643-645	Neoplasm of uncertain behavior of right adrenal gland
D4412	10	643-645	Neoplasm of uncertain behavior of left adrenal gland
D442	10	643-645	Neoplasm of uncertain behavior of parathyroid gland
D443	10	643-645	Neoplasm of uncertain behavior of pituitary gland
D444	10	643-645	Neoplasm of uncertain behavior of craniopharyngeal duct
D445	1	054-055	Neoplasm of uncertain behavior of pineal gland
D446	1	054-055	Neoplasm of uncertain behavior of carotid body
D447	1	054-055	Neoplasm of uncertain behavior of aortic body and other paraganglia
D449	10	643-645	Neoplasm of uncertain behavior of unspecified endocrine gland
D45	17	820-822	Polycythemia vera
	17	823-825	
	17	840-842	
D460	16	811-812	"Refractory anemia without ring sideroblasts, so stated"
D461	16	811-812	Refractory anemia with ring sideroblasts
D4620	16	811-812	"Refractory anemia with excess of blasts, unspecified"
D4621	16	811-812	Refractory anemia with excess of blasts 1
D4622	16	811-812	Refractory anemia with excess of blasts 2
D464	16	811-812	"Refractory anemia, unspecified"
D469	16	811-812	"Myelodysplastic syndrome, unspecified"
D46A	16	811-812	Refractory cytopenia with multilineage dysplasia
D46B	16	811-812	Refractory cytopenia with multilineage dysplasia and ring sideroblasts
D46C	16	811-812	Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality
D46Z	16	811-812	Other myelodysplastic syndromes
D470	17	820-822	Histiocytic and mast cell tumors of uncertain behavior
	17	823-825	
	17	840-842	
D471	17	820-822	Chronic myeloproliferative disease
	17	823-825	
	17	840-842	
D472	16	814-816	Monoclonal gammopathy
D473	16	814-816	Essential (hemorrhagic) thrombocythemia
D474	16	814-816	Osteomyelofibrosis
D479	17	820-822	"Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified"
	17	823-825	
	17	840-842	
D47Z1	21	919-921	Post-transplant lymphoproliferative disorder (PTLD)
D47Z9	17	820-822	"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
	17	823-825	
	17	840-842	
D480	8	456-458	Neoplasm of uncertain behavior of bone and articular cartilage
	8	542-544	
D481	8	564-566	Neoplasm of uncertain behavior of connective and other soft tissue
D482	8	564-566	Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system
D483	6	374-376	Neoplasm of uncertain behavior of retroperitoneum
D484	6	374-376	Neoplasm of uncertain behavior of peritoneum
D485	9	606-607	Neoplasm of uncertain behavior of skin
D4860	9	582-583	Neoplasm of uncertain behavior of unspecified breast
	9	597-601	
D4861	9	582-583	Neoplasm of uncertain behavior of right breast
	9	597-601	
D4862	9	582-583	Neoplasm of uncertain behavior of left breast
	9	597-601	
D487	17	826-830	Neoplasm of uncertain behavior of other specified sites
	17	843-845	
D489	17	826-830	"Neoplasm of uncertain behavior, unspecified"
	17	843-845	
D490	6	374-376	Neoplasm of unspecified behavior of digestive system
D491	4	180-182	Neoplasm of unspecified behavior of respiratory system
D492	8	456-458	"Neoplasm of unspecified behavior of bone, soft tissue, and skin"
	8	564-566	
D493	9	597-601	Neoplasm of unspecified behavior of breast
D494	11	656-661	Neoplasm of unspecified behavior of bladder
	11	686-688	
D495	11	656-661	Neoplasm of unspecified behavior of other genitourinary organs
	11	686-688	
D496	1	054-055	Neoplasm of unspecified behavior of brain
D497	10	643-645	Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system
D4981	17	826-830	Neoplasm of unspecified behavior of retina and choroid
	17	843-845	
D4989	17	826-830	Neoplasm of unspecified behavior of other specified sites
	17	843-845	
D499	17	826-830	Neoplasm of unspecified behavior of unspecified site
	17	843-845	
D500	16	811-812	Iron deficiency anemia secondary to blood loss (chronic)
D501	16	811-812	Sideropenic dysphagia
D508	16	811-812	Other iron deficiency anemias
D509	16	811-812	"Iron deficiency anemia, unspecified"
D510	16	811-812	Vitamin B12 deficiency anemia due to intrinsic factor deficiency
D511	16	811-812	Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria
D512	16	811-812	Transcobalamin II deficiency
D513	16	811-812	Other dietary vitamin B12 deficiency anemia
D518	16	811-812	Other vitamin B12 deficiency anemias
D519	16	811-812	"Vitamin B12 deficiency anemia, unspecified"
D520	16	811-812	Dietary folate deficiency anemia
D521	16	811-812	Drug-induced folate deficiency anemia
D528	16	811-812	Other folate deficiency anemias
D529	16	811-812	"Folate deficiency anemia, unspecified"
D530	16	811-812	Protein deficiency anemia
D531	16	811-812	"Other megaloblastic anemias, not elsewhere classified"
D532	16	811-812	Scorbutic anemia
D538	16	811-812	Other specified nutritional anemias
D539	16	811-812	"Nutritional anemia, unspecified"
D550	16	811-812	Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
D551	16	811-812	Anemia due to other disorders of glutathione metabolism
D552	16	811-812	Anemia due to disorders of glycolytic enzymes
D553	16	811-812	Anemia due to disorders of nucleotide metabolism
D558	16	811-812	Other anemias due to enzyme disorders
D559	16	811-812	"Anemia due to enzyme disorder, unspecified"
D560	15	793	Alpha thalassemia
	16	811-812	
D561	15	793	Beta thalassemia
	16	811-812	
D562	15	793	Delta-beta thalassemia
	16	811-812	
D563	16	811-812	Thalassemia minor
D564	16	811-812	Hereditary persistence of fetal hemoglobin [HPFH]
D565	15	793	Hemoglobin E-beta thalassemia
	16	811-812	
D568	15	793	Other thalassemias
	16	811-812	
D569	15	793	"Thalassemia, unspecified"
	16	811-812	
D5700	16	811-812	"Hb-SS disease with crisis, unspecified"
D5701	16	811-812	Hb-SS disease with acute chest syndrome
D5702	16	811-812	Hb-SS disease with splenic sequestration
D571	16	811-812	Sickle-cell disease without crisis
D5720	16	811-812	Sickle-cell/Hb-C disease without crisis
D57211	16	811-812	Sickle-cell/Hb-C disease with acute chest syndrome
D57212	16	811-812	Sickle-cell/Hb-C disease with splenic sequestration
D57219	16	811-812	"Sickle-cell/Hb-C disease with crisis, unspecified"
D573	16	811-812	Sickle-cell trait
D5740	15	793	Sickle-cell thalassemia without crisis
	16	811-812	
D57411	15	793	Sickle-cell thalassemia with acute chest syndrome
	16	811-812	
D57412	15	793	Sickle-cell thalassemia with splenic sequestration
	16	811-812	
D57419	15	793	"Sickle-cell thalassemia with crisis, unspecified"
	16	811-812	
D5780	16	811-812	Other sickle-cell disorders without crisis
D57811	16	811-812	Other sickle-cell disorders with acute chest syndrome
D57812	16	811-812	Other sickle-cell disorders with splenic sequestration
D57819	16	811-812	"Other sickle-cell disorders with crisis, unspecified"
D580	16	811-812	Hereditary spherocytosis
D581	16	811-812	Hereditary elliptocytosis
D582	16	811-812	Other hemoglobinopathies
D588	16	811-812	Other specified hereditary hemolytic anemias
D589	16	811-812	"Hereditary hemolytic anemia, unspecified"
D590	16	808-810	Drug-induced autoimmune hemolytic anemia
D591	16	808-810	Other autoimmune hemolytic anemias
D592	15	793	Drug-induced nonautoimmune hemolytic anemia
	16	808-810	
D593	15	793	Hemolytic-uremic syndrome
	16	811-812	
D594	15	793	Other nonautoimmune hemolytic anemias
	16	808-810	
D595	15	793	Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]
	16	808-810	
D596	15	793	Hemoglobinuria due to hemolysis from other external causes
	16	808-810	
D598	15	793	Other acquired hemolytic anemias
	16	808-810	
D599	15	793	"Acquired hemolytic anemia, unspecified"
	16	808-810	
D600	16	808-810	Chronic acquired pure red cell aplasia
D601	16	808-810	Transient acquired pure red cell aplasia
D608	16	808-810	Other acquired pure red cell aplasias
D609	16	808-810	"Acquired pure red cell aplasia, unspecified"
D6101	16	808-810	Constitutional (pure) red blood cell aplasia
D6109	16	808-810	Other constitutional aplastic anemia
D611	16	808-810	Drug-induced aplastic anemia
D612	16	808-810	Aplastic anemia due to other external agents
D613	16	808-810	Idiopathic aplastic anemia
D61810	16	808-810	Antineoplastic chemotherapy induced pancytopenia
D61811	16	808-810	Other drug-induced pancytopenia
D61818	16	808-810	Other pancytopenia
D6182	17	820-822	Myelophthisis
	17	823-825	
	17	840-842	
D6189	16	808-810	Other specified aplastic anemias and other bone marrow failure syndromes
D619	16	808-810	"Aplastic anemia, unspecified"
D62	15	793	Acute posthemorrhagic anemia
	16	811-812	
D630	16	811-812	Anemia in neoplastic disease
D631	16	811-812	Anemia in chronic kidney disease
D638	16	811-812	Anemia in other chronic diseases classified elsewhere
D640	16	811-812	Hereditary sideroblastic anemia
D641	16	811-812	Secondary sideroblastic anemia due to disease
D642	16	811-812	Secondary sideroblastic anemia due to drugs and toxins
D643	16	811-812	Other sideroblastic anemias
D644	16	811-812	Congenital dyserythropoietic anemia
D6481	16	811-812	Anemia due to antineoplastic chemotherapy
D6489	16	811-812	Other specified anemias
D649	16	811-812	"Anemia, unspecified"
D65	15	793	Disseminated intravascular coagulation [defibrination syndrome]
	16	813	
D66	16	813	Hereditary factor VIII deficiency
D67	16	813	Hereditary factor IX deficiency
D680	16	813	Von Willebrand's disease
D681	16	813	Hereditary factor XI deficiency
D682	16	813	Hereditary deficiency of other clotting factors
D68311	16	813	Acquired hemophilia
D68312	16	814-816	Antiphospholipid antibody with hemorrhagic disorder
D68318	16	813	"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D6832	16	813	Hemorrhagic disorder due to extrinsic circulating anticoagulants
D684	16	813	Acquired coagulation factor deficiency
D6851	16	814-816	Activated protein C resistance
D6852	16	814-816	Prothrombin gene mutation
D6859	16	814-816	Other primary thrombophilia
D6861	16	814-816	Antiphospholipid syndrome
D6862	16	814-816	Lupus anticoagulant syndrome
D6869	16	814-816	Other thrombophilia
D688	16	813	Other specified coagulation defects
D689	16	813	"Coagulation defect, unspecified"
D690	16	813	Allergic purpura
D691	16	813	Qualitative platelet defects
D692	16	813	Other nonthrombocytopenic purpura
D693	16	813	Immune thrombocytopenic purpura
D6941	16	813	Evans syndrome
D6942	16	813	Congenital and hereditary thrombocytopenia purpura
D6949	16	813	Other primary thrombocytopenia
D6951	15	793	Posttransfusion purpura
	16	813	
D6959	15	793	Other secondary thrombocytopenia
	16	813	
D696	16	813	"Thrombocytopenia, unspecified"
D698	16	813	Other specified hemorrhagic conditions
D699	16	813	"Hemorrhagic condition, unspecified"
D700	16	808-810	Congenital agranulocytosis
D701	16	808-810	Agranulocytosis secondary to cancer chemotherapy
D702	16	808-810	Other drug-induced agranulocytosis
D703	16	808-810	Neutropenia due to infection
D704	16	808-810	Cyclic neutropenia
D708	16	808-810	Other neutropenia
D709	16	808-810	"Neutropenia, unspecified"
D71	16	808-810	Functional disorders of polymorphonuclear neutrophils
D720	16	808-810	Genetic anomalies of leukocytes
D721	16	814-816	Eosinophilia
D72810	16	814-816	Lymphocytopenia
D72818	16	814-816	Other decreased white blood cell count
D72819	16	814-816	"Decreased white blood cell count, unspecified"
D72820	16	814-816	Lymphocytosis (symptomatic)
D72821	16	814-816	Monocytosis (symptomatic)
D72822	16	814-816	Plasmacytosis
D72823	16	814-816	Leukemoid reaction
D72824	16	814-816	Basophilia
D72825	16	814-816	Bandemia
D72828	16	814-816	Other elevated white blood cell count
D72829	16	814-816	"Elevated white blood cell count, unspecified"
D7289	16	814-816	Other specified disorders of white blood cells
D729	16	814-816	"Disorder of white blood cells, unspecified"
D730	16	814-816	Hyposplenism
D731	16	814-816	Hypersplenism
D732	16	814-816	Chronic congestive splenomegaly
D733	16	814-816	Abscess of spleen
D734	16	814-816	Cyst of spleen
D735	16	814-816	Infarction of spleen
D7381	16	814-816	Neutropenic splenomegaly
D7389	16	814-816	Other diseases of spleen
D739	16	814-816	"Disease of spleen, unspecified"
D740	16	811-812	Congenital methemoglobinemia
D748	16	811-812	Other methemoglobinemias
D749	16	811-812	"Methemoglobinemia, unspecified"
D750	16	814-816	Familial erythrocytosis
D751	16	814-816	Secondary polycythemia
D7581	17	820-822	Myelofibrosis
	17	823-825	
	17	840-842	
D7582	15	793	Heparin induced thrombocytopenia (HIT)
	16	813	
D7589	16	814-816	Other specified diseases of blood and blood-forming organs
D759	16	814-816	"Disease of blood and blood-forming organs, unspecified"
D761	16	814-816	Hemophagocytic lymphohistiocytosis
D762	16	814-816	"Hemophagocytic syndrome, infection-associated"
D763	16	814-816	Other histiocytosis syndromes
D77	16	814-816	Other disorders of blood and blood-forming organs in diseases classified elsewhere
D7801	21	919-921	Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen
D7802	21	919-921	Intraoperative hemorrhage and hematoma of the spleen complicating other procedure
D7811	15	793	Accidental puncture and laceration of the spleen during a procedure on the spleen
	21	919-921	
D7812	15	793	Accidental puncture and laceration of the spleen during other procedure
	21	919-921	
D7821	21	919-921	Postprocedural hemorrhage and hematoma of the spleen following a procedure on the spleen
D7822	21	919-921	Postprocedural hemorrhage and hematoma of the spleen following other procedure
D7881	21	919-921	Other intraoperative complications of the spleen
D7889	21	919-921	Other postprocedural complications of the spleen
D800	16	814-816	Hereditary hypogammaglobulinemia
D801	16	814-816	Nonfamilial hypogammaglobulinemia
D802	16	814-816	Selective deficiency of immunoglobulin A [IgA]
D803	16	814-816	Selective deficiency of immunoglobulin G [IgG] subclasses
D804	16	814-816	Selective deficiency of immunoglobulin M [IgM]
D805	16	814-816	Immunodeficiency with increased immunoglobulin M [IgM]
D806	16	808-810	Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia
D807	16	814-816	Transient hypogammaglobulinemia of infancy
D808	16	808-810	Other immunodeficiencies with predominantly antibody defects
D809	16	808-810	"Immunodeficiency with predominantly antibody defects, unspecified"
D810	16	808-810	Severe combined immunodeficiency [SCID] with reticular dysgenesis
D811	16	808-810	Severe combined immunodeficiency [SCID] with low T- and B-cell numbers
D812	16	808-810	Severe combined immunodeficiency [SCID] with low or normal B-cell numbers
D813	10	642	Adenosine deaminase [ADA] deficiency
D814	16	808-810	Nezelof's syndrome
D815	10	642	Purine nucleoside phosphorylase [PNP] deficiency
D816	16	808-810	Major histocompatibility complex class I deficiency
D817	16	808-810	Major histocompatibility complex class II deficiency
D81810	10	642	Biotinidase deficiency
D81818	10	640-641	Other biotin-dependent carboxylase deficiency
D81819	10	640-641	"Biotin-dependent carboxylase deficiency, unspecified"
D8189	16	808-810	Other combined immunodeficiencies
D819	16	808-810	"Combined immunodeficiency, unspecified"
D820	16	808-810	Wiskott-Aldrich syndrome
D821	16	808-810	Di George's syndrome
D822	16	814-816	Immunodeficiency with short-limbed stature
D823	16	814-816	Immunodeficiency following hereditary defective response to Epstein-Barr virus
D824	16	814-816	Hyperimmunoglobulin E [IgE] syndrome
D828	16	814-816	Immunodeficiency associated with other specified major defects
D829	16	814-816	"Immunodeficiency associated with major defect, unspecified"
D830	16	814-816	Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function
D831	16	814-816	Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
D832	16	814-816	Common variable immunodeficiency with autoantibodies to B- or T-cells
D838	16	814-816	Other common variable immunodeficiencies
D839	16	814-816	"Common variable immunodeficiency, unspecified"
D840	16	814-816	Lymphocyte function antigen-1 [LFA-1] defect
D841	10	642	Defects in the complement system
D848	16	814-816	Other specified immunodeficiencies
D849	16	814-816	"Immunodeficiency, unspecified"
D860	4	196-198	Sarcoidosis of lung
D861	4	196-198	Sarcoidosis of lymph nodes
D862	4	196-198	Sarcoidosis of lung with sarcoidosis of lymph nodes
D863	4	196-198	Sarcoidosis of skin
D8681	4	196-198	Sarcoid meningitis
D8682	4	196-198	Multiple cranial nerve palsies in sarcoidosis
D8683	4	196-198	Sarcoid iridocyclitis
D8684	4	196-198	Sarcoid pyelonephritis
D8685	4	196-198	Sarcoid myocarditis
D8686	4	196-198	Sarcoid arthropathy
D8687	4	196-198	Sarcoid myositis
D8689	4	196-198	Sarcoidosis of other sites
D869	4	196-198	"Sarcoidosis, unspecified"
D890	16	814-816	Polyclonal hypergammaglobulinemia
D891	17	820-822	Cryoglobulinemia
	17	823-825	
	17	840-842	
D892	16	814-816	"Hypergammaglobulinemia, unspecified"
D893	16	814-816	Immune reconstitution syndrome
D89810	16	808-810	Acute graft-versus-host disease
D89811	16	808-810	Chronic graft-versus-host disease
D89812	16	808-810	Acute on chronic graft-versus-host disease
D89813	16	808-810	"Graft-versus-host disease, unspecified"
D8982	8	545-547	Autoimmune lymphoproliferative syndrome [ALPS]
D8989	16	814-816	"Other specified disorders involving the immune mechanism, not elsewhere classified"
D899	16	814-816	"Disorder involving the immune mechanism, unspecified"
E000	10	643-645	"Congenital iodine-deficiency syndrome, neurological type"
E001	10	643-645	"Congenital iodine-deficiency syndrome, myxedematous type"
E002	10	643-645	"Congenital iodine-deficiency syndrome, mixed type"
E009	10	643-645	"Congenital iodine-deficiency syndrome, unspecified"
E010	10	643-645	Iodine-deficiency related diffuse (endemic) goiter
E011	10	643-645	Iodine-deficiency related multinodular (endemic) goiter
E012	10	643-645	"Iodine-deficiency related (endemic) goiter, unspecified"
E018	10	643-645	Other iodine-deficiency related thyroid disorders and allied conditions
E02	10	643-645	Subclinical iodine-deficiency hypothyroidism
E030	10	643-645	Congenital hypothyroidism with diffuse goiter
E031	10	643-645	Congenital hypothyroidism without goiter
E032	10	643-645	Hypothyroidism due to medicaments and other exogenous substances
E033	10	643-645	Postinfectious hypothyroidism
E034	Pre	011-013	Atrophy of thyroid (acquired)
	10	643-645	
E035	1	080-081	Myxedema coma
	15	793	
E038	10	643-645	Other specified hypothyroidism
E039	10	643-645	"Hypothyroidism, unspecified"
E040	10	643-645	Nontoxic diffuse goiter
E041	Pre	011-013	Nontoxic single thyroid nodule
	10	643-645	
E042	10	643-645	Nontoxic multinodular goiter
E048	10	643-645	Other specified nontoxic goiter
E049	10	643-645	"Nontoxic goiter, unspecified"
E0500	Pre	011-013	Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
	10	643-645	
E0501	Pre	011-013	Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
	10	643-645	
E0510	Pre	011-013	Thyrotoxicosis with toxic single thyroid nodule without thyrotoxic crisis or storm
	10	643-645	
E0511	Pre	011-013	Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm
	10	643-645	
E0520	Pre	011-013	Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm
	10	643-645	
E0521	Pre	011-013	Thyrotoxicosis with toxic multinodular goiter with thyrotoxic crisis or storm
	10	643-645	
E0530	Pre	011-013	Thyrotoxicosis from ectopic thyroid tissue without thyrotoxic crisis or storm
	10	643-645	
E0531	Pre	011-013	Thyrotoxicosis from ectopic thyroid tissue with thyrotoxic crisis or storm
	10	643-645	
E0540	Pre	011-013	Thyrotoxicosis factitia without thyrotoxic crisis or storm
	10	643-645	
E0541	Pre	011-013	Thyrotoxicosis factitia with thyrotoxic crisis or storm
	10	643-645	
E0580	Pre	011-013	Other thyrotoxicosis without thyrotoxic crisis or storm
	10	643-645	
E0581	Pre	011-013	Other thyrotoxicosis with thyrotoxic crisis or storm
	10	643-645	
E0590	Pre	011-013	"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
	10	643-645	
E0591	Pre	011-013	"Thyrotoxicosis, unspecified with thyrotoxic crisis or storm"
	10	643-645	
E060	Pre	011-013	Acute thyroiditis
	10	643-645	
E061	Pre	011-013	Subacute thyroiditis
	10	643-645	
E062	Pre	011-013	Chronic thyroiditis with transient thyrotoxicosis
	10	643-645	
E063	Pre	011-013	Autoimmune thyroiditis
	10	643-645	
E064	Pre	011-013	Drug-induced thyroiditis
	10	643-645	
E065	Pre	011-013	Other chronic thyroiditis
	10	643-645	
E069	Pre	011-013	"Thyroiditis, unspecified"
	10	643-645	
E070	10	643-645	Hypersecretion of calcitonin
E071	10	643-645	Dyshormogenetic goiter
E0781	23	947-948	Sick-euthyroid syndrome
E0789	Pre	011-013	Other specified disorders of thyroid
	10	643-645	
E079	Pre	011-013	"Disorder of thyroid, unspecified"
	10	643-645	
E0800	Pre	8	Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
	Pre	10	
	10	637-639	
E0801	Pre	8	Diabetes mellitus due to underlying condition with hyperosmolarity with coma
	Pre	10	
	10	637-639	
E0810	Pre	8	Diabetes mellitus due to underlying condition with ketoacidosis without coma
	Pre	10	
	10	637-639	
E0811	Pre	8	Diabetes mellitus due to underlying condition with ketoacidosis with coma
	Pre	10	
	10	637-639	
E0821	Pre	8	Diabetes mellitus due to underlying condition with diabetic nephropathy
	Pre	10	
	11	698-700	
E0822	Pre	8	Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
	Pre	10	
	11	698-700	
E0829	Pre	8	Diabetes mellitus due to underlying condition with other diabetic kidney complication
	Pre	10	
	11	698-700	
E08311	Pre	8	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E08319	Pre	8	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E08321	Pre	8	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E08329	Pre	8	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E08331	Pre	8	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E08339	Pre	8	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E08341	Pre	8	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E08349	Pre	8	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E08351	Pre	8	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E08359	Pre	8	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E0836	Pre	8	Diabetes mellitus due to underlying condition with diabetic cataract
	Pre	10	
	2	124-125	
E0839	Pre	8	Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication
	Pre	10	
	2	124-125	
E0840	Pre	8	"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified"
	Pre	10	
	1	073-074	
E0841	Pre	8	Diabetes mellitus due to underlying condition with diabetic mononeuropathy
	Pre	10	
	1	073-074	
E0842	Pre	8	Diabetes mellitus due to underlying condition with diabetic polyneuropathy
	Pre	10	
	1	073-074	
E0843	Pre	8	Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy
	Pre	10	
	1	073-074	
E0844	Pre	8	Diabetes mellitus due to underlying condition with diabetic amyotrophy
	Pre	10	
	1	073-074	
E0849	Pre	8	Diabetes mellitus due to underlying condition with other diabetic neurological complication
	Pre	10	
	1	073-074	
E0851	Pre	8	Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
	Pre	10	
	5	299-301	
E0852	Pre	8	Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene
	Pre	10	
	5	299-301	
E0859	Pre	8	Diabetes mellitus due to underlying condition with other circulatory complications
	Pre	10	
	5	299-301	
E08610	Pre	8	Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy
	Pre	10	
	1	073-074	
E08618	Pre	8	Diabetes mellitus due to underlying condition with other diabetic arthropathy
	Pre	10	
	10	637-639	
E08620	Pre	8	Diabetes mellitus due to underlying condition with diabetic dermatitis
	Pre	10	
	10	637-639	
E08621	Pre	8	Diabetes mellitus due to underlying condition with foot ulcer
	Pre	10	
	10	637-639	
E08622	Pre	8	Diabetes mellitus due to underlying condition with other skin ulcer
	Pre	10	
	10	637-639	
E08628	Pre	8	Diabetes mellitus due to underlying condition with other skin complications
	Pre	10	
	10	637-639	
E08630	Pre	8	Diabetes mellitus due to underlying condition with periodontal disease
	Pre	10	
	10	637-639	
E08638	Pre	8	Diabetes mellitus due to underlying condition with other oral complications
	Pre	10	
	10	637-639	
E08641	Pre	8	Diabetes mellitus due to underlying condition with hypoglycemia with coma
	Pre	10	
	10	637-639	
E08649	Pre	8	Diabetes mellitus due to underlying condition with hypoglycemia without coma
	Pre	10	
	10	637-639	
E0865	Pre	8	Diabetes mellitus due to underlying condition with hyperglycemia
	Pre	10	
	10	637-639	
E0869	Pre	8	Diabetes mellitus due to underlying condition with other specified complication
	Pre	10	
	10	637-639	
E088	Pre	8	Diabetes mellitus due to underlying condition with unspecified complications
	Pre	10	
	10	637-639	
E089	Pre	8	Diabetes mellitus due to underlying condition without complications
	Pre	10	
	10	637-639	
E0900	Pre	8	Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
	Pre	10	
	10	637-639	
E0901	Pre	8	Drug or chemical induced diabetes mellitus with hyperosmolarity with coma
	Pre	10	
	10	637-639	
E0910	Pre	8	Drug or chemical induced diabetes mellitus with ketoacidosis without coma
	Pre	10	
	10	637-639	
E0911	Pre	8	Drug or chemical induced diabetes mellitus with ketoacidosis with coma
	Pre	10	
	10	637-639	
E0921	Pre	8	Drug or chemical induced diabetes mellitus with diabetic nephropathy
	Pre	10	
	11	698-700	
E0922	Pre	8	Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease
	Pre	10	
	11	698-700	
E0929	Pre	8	Drug or chemical induced diabetes mellitus with other diabetic kidney complication
	Pre	10	
	11	698-700	
E09311	Pre	8	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E09319	Pre	8	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E09321	Pre	8	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E09329	Pre	8	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E09331	Pre	8	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E09339	Pre	8	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E09341	Pre	8	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E09349	Pre	8	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E09351	Pre	8	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema
	Pre	10	
	2	124-125	
E09359	Pre	8	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema
	Pre	10	
	2	124-125	
E0936	Pre	8	Drug or chemical induced diabetes mellitus with diabetic cataract
	Pre	10	
	2	124-125	
E0939	Pre	8	Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication
	Pre	10	
	2	124-125	
E0940	Pre	8	"Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified"
	Pre	10	
	1	073-074	
